Subject,Start Date,Start Time,End Time
Calculus I*,4/08/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,4/08/2022,11:55 AM,1:10 PM
Lunch B,4/08/2022,1:15 PM,1:55 PM
Woodworking II*),4/08/2022,2:00 PM,3:15 PM
Free Period (D Block),4/14/2022,8:30 AM,9:45 AM
Community Period,4/14/2022,9:50 AM,10:30 AM
Calculus I*,4/14/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,4/14/2022,11:55 AM,1:10 PM
Lunch B,4/14/2022,1:15 PM,1:55 PM
Woodworking II*),4/14/2022,2:00 PM,3:15 PM
Free Period (D Block),4/22/2022,8:30 AM,9:45 AM
Community Period,4/22/2022,9:50 AM,10:30 AM
Calculus I*,4/22/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,4/22/2022,11:55 AM,1:10 PM
Lunch B,4/22/2022,1:15 PM,1:55 PM
Woodworking II*),4/22/2022,2:00 PM,3:15 PM
Free Period (D Block),4/28/2022,8:30 AM,9:45 AM
Community Period,4/28/2022,9:50 AM,10:30 AM
Calculus I*,4/28/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,4/28/2022,11:55 AM,1:10 PM
Lunch B,4/28/2022,1:15 PM,1:55 PM
Woodworking II*),4/28/2022,2:00 PM,3:15 PM
Free Period (D Block),5/04/2022,8:30 AM,9:45 AM
Community Period,5/04/2022,9:50 AM,10:30 AM
Calculus I*,5/04/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,5/04/2022,11:55 AM,1:10 PM
Lunch B,5/04/2022,1:15 PM,1:55 PM
Woodworking II*),5/04/2022,2:00 PM,3:15 PM
Free Period (D Block),5/10/2022,8:30 AM,9:45 AM
Community Period,5/10/2022,9:50 AM,10:30 AM
Calculus I*,5/10/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,5/10/2022,11:55 AM,1:10 PM
Lunch B,5/10/2022,1:15 PM,1:55 PM
Woodworking II*),5/10/2022,2:00 PM,3:15 PM
Free Period (D Block),5/16/2022,8:30 AM,9:45 AM
Community Period,5/16/2022,9:50 AM,10:30 AM
Calculus I*,5/16/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,5/16/2022,11:55 AM,1:10 PM
Lunch B,5/16/2022,1:15 PM,1:55 PM
Woodworking II*),5/16/2022,2:00 PM,3:15 PM
Free Period (D Block),5/20/2022,8:30 AM,9:45 AM
Community Period,5/20/2022,9:50 AM,10:30 AM
Calculus I*,5/20/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,5/20/2022,11:55 AM,1:10 PM
Lunch B,5/20/2022,1:15 PM,1:55 PM
Woodworking II*),5/20/2022,2:00 PM,3:15 PM
Free Period (D Block),5/26/2022,8:30 AM,9:45 AM
Community Period,5/26/2022,9:50 AM,10:30 AM
Calculus I*,5/26/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,5/26/2022,11:55 AM,1:10 PM
Lunch B,5/26/2022,1:15 PM,1:55 PM
Woodworking II*),5/26/2022,2:00 PM,3:15 PM
Free Period (D Block),6/02/2022,8:30 AM,9:45 AM
Community Period,6/02/2022,9:50 AM,10:30 AM
Calculus I*,6/02/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,6/02/2022,11:55 AM,1:10 PM
Lunch B,6/02/2022,1:15 PM,1:55 PM
Woodworking II*),6/02/2022,2:00 PM,3:15 PM
Free Period (D Block),6/08/2022,8:30 AM,9:45 AM
Community Period,6/08/2022,9:50 AM,10:30 AM
Calculus I*,6/08/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,6/08/2022,11:55 AM,1:10 PM
Lunch B,6/08/2022,1:15 PM,1:55 PM
Woodworking II*),6/08/2022,2:00 PM,3:15 PM
Free Period (D Block),6/14/2022,8:30 AM,9:45 AM
Community Period,6/14/2022,9:50 AM,10:30 AM
Calculus I*,6/14/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,6/14/2022,11:55 AM,1:10 PM
Lunch B,6/14/2022,1:15 PM,1:55 PM
Woodworking II*),6/14/2022,2:00 PM,3:15 PM
Free Period (D Block),6/20/2022,8:30 AM,9:45 AM
Community Period,6/20/2022,9:50 AM,10:30 AM
Calculus I*,6/20/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,6/20/2022,11:55 AM,1:10 PM
Lunch B,6/20/2022,1:15 PM,1:55 PM
Woodworking II*),6/20/2022,2:00 PM,3:15 PM
Free Period (D Block),6/24/2022,8:30 AM,9:45 AM
Community Period,6/24/2022,9:50 AM,10:30 AM
Calculus I*,6/24/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,6/24/2022,11:55 AM,1:10 PM
Lunch B,6/24/2022,1:15 PM,1:55 PM
Woodworking II*),6/24/2022,2:00 PM,3:15 PM
Free Period (D Block),6/30/2022,8:30 AM,9:45 AM
Community Period,6/30/2022,9:50 AM,10:30 AM
Calculus I*,6/30/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,6/30/2022,11:55 AM,1:10 PM
Lunch B,6/30/2022,1:15 PM,1:55 PM
Woodworking II*),6/30/2022,2:00 PM,3:15 PM
